english,runyankole
hello,niiby'omaara
goodbye,oraire
thank you,webare
please,nyine
water,amaizi
food,ebiryo
house,enju
person,omuntu
child,omwana
mother,maama
father,taata
friend,mugyenyi
love,okukunda
sun,izuba
moon,omwezi
star,enjara
rain,enkuba
tree,omuti
flower,ekimuli
bird,ekinyonyi
dog,embwa
cat,enjangu
cow,ente
goat,embuzi
fish,ekyenyanja
road,ekihanda
mountain,ekisojo
river,omugyera
lake,ekyanja
fire,omuriro
stone,ebuye
book,ekitabo
school,ishomero
teacher,omushomesa
student,omuyigirizi
work,omurimo
money,ebicuruzwa
market,orubuga
shop,eduka
door,omuryango
window,edirisa
bed,ekitanda
chair,entebe
table,emeza
cup,ekikopo
plate,ekyokulya
knife,ekyokutema
spoon,ekiyiko
salt,omunyu
sugar,esukari
milk,amaata
bread,omugaati
egg,ekiinyi
meat,enyama
potato,ekirayi
banana,ekitoke
orange,ecungwa
apple,epura
carrot,ekaroti
onion,ekitungulu
tomato,enyanya
bean,ebishyimbo
rice,omucere
tea,chai
coffee,omwaani
watermelon,ekitunda
mango,emiembe
sweet,ebirungo
sour,ebibisi
hot,omuriro gwe
cold,ekibega
big,kinene
small,kike
good,kye
bad,kibi
new,kyasha
old,kyakare
young,omuto
tall,omugufu
short,omumpi
fast,okwihuta
slow,okutinda
happy,okusanyuka
sad,okunakuza
angry,okushungura
tired,okunihwa
hungry,enjara
thirsty,enjota
sleep,okugona
wake,okuzuka
run,okwiruka
walk,okugenda
sit,okwicara
stand,okuhagarara
come,okwija
go,okugenda
see,okureeba
hear,okwihurira
speak,okugamba
understand,okutegeera
